gen,game,history,rewards
8,3,"[0, 8031, 8031, 0, 2, 7, 3, 7, 3, 9, 7, 8031, 0, 8031, 8031, 4, 0, 6, 1, 6, 4, 8031, 0, 8031, 8031, 8031, 1, 8031, 8031, 8031, 0, 8031, 8031, 8031, 0]","[ -6.  32. -13. -13.]"
8,4,"[0, 8031, 8031, 1, 2, 6, 8, 9, 9, 8031, 0, 8031, 8031, 5, 7, 7, 8031, 4, 1, 8031, 8031, 4, 8031, 2, 1, 8031, 8031, 4, 8031, 1, 1, 8031, 8031, 2, 8031, 0, 0, 8031, 8031, 0]","[ 29.  -3. -13. -13.]"
9,1,"[0, 8031, 8031, 0, 3, 7, 9, 10, 8031, 8, 9, 8031, 8031, 8031, 2, 8031, 8031, 4, 2, 5, 8031, 0, 2, 8031, 8031, 4, 8031, 1, 2, 8031, 8031, 3, 8031, 1, 2, 8031, 8031, 1, 2, 8031, 0, 8031, 8031, 0]","[ 28.  -2. -13. -13.]"
9,2,"[53, 8031, 94, 183, 8031, 8031, 0, 8031, 8031, 1, 3, 6, 6, 6, 6, 6, 8031, 2, 2, 8031, 8031, 3, 3, 3, 8031, 1, 2, 8031, 8031, 8031, 0, 8031, 8031, 1, 1, 8031, 0]","[ -1.  24. -10. -13.]"
9,3,"[0, 0, 8031, 8031, 4, 4, 4, 5, 6, 6, 7, 8, 8031, 0, 8031, 8031, 3, 3, 5, 5, 5, 8031, 1, 0, 8031, 8031, 1, 2, 2, 2, 8031, 0, 8031, 8031, 1, 8031, 0]","[ 27.  -1. -13. -13.]"
9,4,"[0, 2, 8031, 8031, 7, 7, 10, 7, 8031, 2, 8031, 8031, 7, 6, 8031, 1, 8031, 8031, 6, 1, 7, 4, 8031, 0, 8031, 8031, 3, 0, 5, 2, 8031, 0, 8031, 8031, 8031, 0]","[ -5.  31. -13. -13.]"
10,1,"[0, 8031, 8031, 0, 0, 2, 1, 3, 6, 5, 7, 6, 7, 8031, 2, 8031, 8031, 4, 5, 4, 8031, 2, 8031, 8031, 8031, 0, 0, 8031, 8031, 2, 8031, 1, 8031, 8031, 8031, 0, 0, 8031, 8031, 0]","[ 29.  -3. -13. -13.]"
10,2,"[4021, 8031, 8031, 8031, 19, 40, 8031, 8031, 8031, 6, 6, 8031, 8031, 7, 8, 7, 9, 8031, 0, 8031, 8031, 0, 1, 0, 2, 3, 2, 3, 2, 3, 4, 8031, 0, 8031, 8031, 1, 1, 8031, 0, 8031, 8031, 0, 0]","[ -1.  18. -13.  -4.]"
10,3,"[343, 8031, 292, 8031, 8031, 4, 9, 8031, 8031, 6, 8031, 2, 9, 8031, 8031, 4, 10, 4, 8031, 2, 9, 8031, 8031, 8031, 1, 8031, 8031, 1, 6, 1, 8031, 0]","[ 29.  -7.  -9. -13.]"
10,4,"[6964, 8031, 8031, 8031, 13, 8031, 40, 37, 8031, 8031, 3, 8031, 8031, 6, 5, 6, 5, 7, 6, 7, 8031, 3, 3, 8031, 8031, 5, 4, 8031, 0, 8031, 8031, 3, 2, 3, 2, 8031, 0, 8031, 8031, 2, 0]","[ -2.  17.  -2. -13.]"
